x,y,heading,curvature
-1.9299,-8.2000,1.735358,0.108598
-1.9388,-8.1500,1.744152,-0.086488
-1.9474,-8.1000,1.726538,0.056713
-1.9545,-8.0500,1.749853,0.228498
-1.9655,-8.0000,1.749853,-0.228498
-1.9726,-7.9500,1.726538,-0.056713
-1.9812,-7.9000,1.744152,-0.250817
-1.9901,-7.8500,1.700828,-0.167626
-1.9943,-7.8000,1.727421,1.212279
-2.0059,-7.7500,1.821941,0.904689
-2.0200,-7.7000,1.822789,0.036986
-2.0316,-7.6500,1.825758,0.036901
-2.0460,-7.6000,1.826605,-0.045071
-2.0578,-7.5500,1.821091,0.419720
-2.0716,-7.5000,1.869295,1.106204
-2.0886,-7.4500,1.935998,0.837035
-2.1098,-7.4000,1.960242,0.318852
-2.1296,-7.3500,1.970653,0.307658
-2.1521,-7.3000,1.993462,0.525145
-2.1746,-7.2500,2.027907,0.493675
-2.2013,-7.2000,2.048819,-0.443440
-2.2264,-7.1500,1.975634,-0.976860
-2.2441,-7.1000,1.944654,-0.438057
-2.2656,-7.0500,1.928873,-0.717442
-2.2815,-7.0000,1.866813,-0.475170
-2.2961,-6.9500,1.880417,0.121197
-2.3135,-6.9000,1.879596,-0.113467
-2.3280,-6.8500,1.868468,-0.272808
-2.3442,-6.8000,1.851007,-0.670637
-2.3568,-6.7500,1.798025,-0.753265
-2.3673,-6.7000,1.774276,0.161521
-2.3774,-6.6500,1.814284,0.790003
-2.3922,-6.6000,1.855598,0.231987
-2.4067,-6.5500,1.838847,-0.568008
-2.4196,-6.5000,1.796306,-1.089342
-2.4296,-6.4500,1.726538,-1.330573
-2.4353,-6.4000,1.661946,-0.893747
-2.4388,-6.3500,1.637214,0.260709
-2.4420,-6.3000,1.687905,1.112560
-2.4505,-6.2500,1.748977,0.681505
-2.4600,-6.2000,1.757728,0.000000
-2.4695,-6.1500,1.748977,-0.345066
-2.4780,-6.1000,1.722561,-0.699297
-2.4848,-6.0500,1.678075,-0.386912
-2.4888,-6.0000,1.683886,0.661365
-2.4961,-5.9500,1.744152,0.471362
-2.5063,-5.9000,1.732274,-0.900563
-2.5124,-5.8500,1.652065,-1.612871
-2.5144,-5.8000,1.570796,-1.628946
-2.5124,-5.7500,1.489528,-1.612871
-2.5063,-5.7000,1.409319,-0.561220
-2.4961,-5.6500,1.431878,0.536231
-2.4923,-5.6000,1.463517,-0.217916
-2.4853,-5.5500,1.410200,-0.870483
-2.4761,-5.5000,1.375142,-0.179372
-2.4655,-5.4500,1.391739,0.219875
-2.4580,-5.4000,1.397441,-0.289736
-2.4480,-5.3500,1.362548,-0.423786
-2.4369,-5.3000,1.353901,0.412991
-2.4260,-5.2500,1.405354,0.338678
-2.4202,-5.2000,1.387799,-1.023866
-2.4075,-5.1500,1.302746,-1.046757
-2.3927,-5.1000,1.277680,0.071464
-2.3773,-5.0500,1.310335,0.616423
-2.3661,-5.0000,1.341421,0.630961
-2.3539,-4.9500,1.375142,0.076874
-2.3462,-4.9000,1.349159,-1.083822
-2.3314,-4.8500,1.265697,-0.628232
-2.3148,-4.8000,1.281416,0.362506
-2.3016,-4.7500,1.303587,-0.406001
-2.2874,-4.7000,1.240383,-0.815702
-2.2673,-4.6500,1.216297,-0.100769
-2.2504,-4.6000,1.229493,0.344541
-2.2318,-4.5500,1.252988,0.294770
-2.2175,-4.5000,1.260355,-0.574255
-2.1997,-4.4500,1.194197,-1.037021
-2.1779,-4.4000,1.148131,-0.144157
-2.1548,-4.3500,1.177870,0.206898
-2.1365,-4.3000,1.170172,-0.211971
-2.1124,-4.2500,1.154926,-0.346365
-2.0923,-4.2000,1.132437,-0.732241
-2.0655,-4.1500,1.075453,-0.123261
-2.0383,-4.1000,1.117701,0.453841
-2.0168,-4.0500,1.125043,-0.192782
-1.9905,-4.0000,1.096706,0.382410
-1.9655,-3.9500,1.170172,1.052791
-1.9481,-3.9000,1.209153,0.666428
-1.9277,-3.8500,1.241193,0.536589
-1.9139,-3.8000,1.265697,-0.514365
-1.8962,-3.7500,1.189120,-0.690782
-1.8738,-3.7000,1.189120,0.408682
-1.8561,-3.6500,1.233920,0.448865
-1.8388,-3.6000,1.235937,-0.076240
-1.8213,-3.5500,1.225882,-0.595903
-1.8029,-3.5000,1.173630,-0.542896
-1.7793,-3.4500,1.165959,0.256514
-1.7600,-3.4000,1.202047,0.286441
-1.7407,-3.3500,1.196155,-0.218826
-1.7207,-3.3000,1.178643,-0.160678
-1.6993,-3.2500,1.178643,0.160678
-1.6793,-3.2000,1.196155,0.503301
-1.6600,-3.1500,1.233114,0.049409
-1.6442,-3.1000,1.201260,-0.946594
-1.6213,-3.0500,1.133179,-0.268992
-1.5974,-3.0000,1.170172,0.346220
-1.5789,-2.9500,1.170172,-0.346220
-1.5551,-2.9000,1.133179,-0.245456
-1.5321,-2.8500,1.142500,0.068123
-1.5094,-2.8000,1.140629,0.383907
-1.4862,-2.7500,1.185618,0.496988
-1.4689,-2.7000,1.193414,0.072706
-1.4466,-2.6500,1.193414,-0.072706
-1.4292,-2.6000,1.185618,-0.216082
-1.4061,-2.5500,1.170172,0.187241
-1.3869,-2.5000,1.206385,0.073814
-1.3679,-2.4500,1.177870,-0.592157
-1.3454,-2.4000,1.142500,-0.470048
-1.3223,-2.3500,1.125780,-0.149730
-1.2977,-2.3000,1.125780,0.149730
-1.2746,-2.2500,1.142500,0.204369
-1.2521,-2.2000,1.148131,0.257424
-1.2296,-2.1500,1.170940,0.583489
-1.2098,-2.1000,1.211926,0.668520
-1.1921,-2.0500,1.242004,0.460315
-1.1757,-2.0000,1.260355,0.234390
-1.1600,-1.9500,1.266521,0.000000
-1.1443,-1.9000,1.260355,-0.234390
-1.1279,-1.8500,1.242004,-0.460315
-1.1102,-1.8000,1.211926,-0.668520
-1.0904,-1.7500,1.170940,-0.307658
-1.0679,-1.7000,1.177870,-0.221167
-1.0490,-1.6500,1.147378,-0.884639
-1.0229,-1.6000,1.082484,-0.249324
-0.9958,-1.5500,1.117701,0.322293
-0.9742,-1.5000,1.117701,-0.065774
-0.9471,-1.4500,1.110412,0.556357
-0.9246,-1.4000,1.182125,0.821198
-0.9062,-1.3500,1.196939,0.040155
-0.8853,-1.3000,1.186395,-0.674091
-0.8657,-1.2500,1.125780,-0.998200
-0.8376,-1.2000,1.075453,-0.560837
-0.8117,-1.1500,1.060859,-0.256833
-0.7817,-1.1000,1.046535,-0.428306
-0.7519,-1.0465,1.010051,-0.728103
-0.7163,-0.9959,0.956898,-0.815871
-0.6798,-0.9443,0.908646,-1.031753
-0.6370,-0.8941,0.821026,-1.095502
-0.5929,-0.8509,0.767199,-0.884078
-0.5496,-0.8099,0.715694,-0.946338
-0.5028,-0.7725,0.652552,-1.155376
-0.4583,-0.7400,0.581051,-1.672109
-0.4122,-0.7131,0.473022,-2.405224
-0.3641,-0.6919,0.326283,-2.540788
-0.3135,-0.6797,0.212310,-1.302565
-0.2600,-0.6694,0.184503,-0.324901
-0.2100,-0.6604,0.178181,0.069216
-0.1600,-0.6514,0.191733,-0.047087
-0.1100,-0.6410,0.173355,-0.635690
-0.0600,-0.6339,0.126916,-0.554119
-0.0100,-0.6282,0.117794,-0.024953
0.0400,-0.6221,0.124408,0.154779
0.0900,-0.6157,0.133388,0.262222
0.1400,-0.6086,0.150833,0.427878
0.1900,-0.6005,0.176604,0.587932
0.2400,-0.5908,0.210449,-4.056369
0.2900,-0.5791,-0.098645,-2.096841
0.3900,-0.6056,-0.259164,-0.389677
