x,y,heading,curvature
-0.7429,-6.1000,-1.410200,0.705091
-0.7334,-6.1500,-1.366449,0.348357
-0.7222,-6.2000,-1.374271,-0.046954
-0.7135,-6.2500,-1.371226,0.455899
-0.7019,-6.3000,-1.328161,0.256603
-0.6888,-6.3500,-1.344427,-0.297298
-0.6789,-6.4000,-1.358653,-0.300139
-0.6672,-6.4500,-1.375142,0.264788
-0.6591,-6.5000,-1.332002,1.079127
-0.6429,-6.5500,-1.264874,0.890610
-0.6275,-6.6000,-1.237552,0.416205
-0.6083,-6.6500,-1.220682,0.183764
-0.5910,-6.7000,-1.217890,0.456131
-0.5714,-6.7500,-1.172861,0.921674
-0.5490,-6.8000,-1.118433,0.549800
-0.5229,-6.8500,-1.110412,-0.289566
-0.4994,-6.9000,-1.151523,0.031032
-0.4783,-6.9500,-1.107149,0.777054
-0.4494,-7.0000,-1.064659,0.027247
-0.4229,-7.0500,-1.103896,-0.035441
-0.3990,-7.1000,-1.068474,0.548384
-0.3679,-7.1500,-1.041092,0.407099
-0.3404,-7.2000,-1.021113,0.280530
-0.3067,-7.2500,-1.008059,-0.049281
-0.2773,-7.3000,-1.027056,0.019851
-0.2462,-7.3500,-1.005796,0.485245
-0.2139,-7.4000,-0.970162,0.332815
-0.1777,-7.4500,-0.964640,-0.318990
-0.1446,-7.5000,-1.010328,-0.824873
-0.1149,-7.5500,-1.062239,-0.729679
-0.0889,-7.6000,-1.092774,-0.551133
-0.0631,-7.6500,-1.124307,-0.803516
-0.0410,-7.7000,-1.182901,-0.796854
-0.0223,-7.7500,-1.209153,-0.133286
-0.0032,-7.8000,-1.196939,-0.470912
0.0170,-7.8500,-1.261175,-1.094682
0.0288,-7.9000,-1.311180,-0.498373
0.0435,-7.9500,-1.312025,-0.437392
0.0553,-8.0000,-1.356924,-0.029558
0.0652,-8.0500,-1.314988,1.048920
0.0814,-8.1000,-1.249317,0.610581
0.0986,-8.1500,-1.249317,-0.309155
0.1148,-8.2000,-1.282248,-0.346829
0.1282,-8.2500,-1.285161,-0.035972
0.1441,-8.3000,-1.285995,-0.567967
0.1575,-8.3500,-1.345287,-0.783489
0.1671,-8.4000,-1.365582,-0.292971
0.1783,-8.4500,-1.375142,-0.691865
0.1869,-8.5000,-1.436763,-1.409341
0.1918,-8.5500,-1.517453,-0.761441
0.1922,-8.6000,-1.512491,0.009004
0.1976,-8.6500,-1.516551,-1.121723
0.1976,-8.7000,-1.625042,-1.473107
0.1922,-8.7500,-1.664189,-0.397470
0.1883,-8.8000,-1.665086,-0.276819
0.1828,-8.8500,-1.691920,-0.442612
0.1761,-8.9000,-1.709715,0.079116
0.1688,-8.9500,-1.683886,0.315147
0.1648,-9.0000,-1.678075,-0.386912
0.1580,-9.0500,-1.722561,-0.699297
0.1495,-9.1000,-1.748977,-0.008627
0.1400,-9.1500,-1.723446,0.397564
0.1341,-9.2000,-1.708827,-0.118718
0.1261,-9.2500,-1.735358,0.078191
0.1175,-9.3000,-1.700828,-0.008822
0.1130,-9.3500,-1.736238,-1.380762
0.1008,-9.4000,-1.838847,-1.371333
0.0856,-9.4500,-1.880417,-0.242394
0.0688,-9.5000,-1.864742,0.281674
