x,y,heading,curvature
-4.1700,2.7800,-1.570796,0.009524
-4.1700,2.5300,-1.589842,-0.085668
-4.1795,2.2800,-1.613627,-0.056986
-4.1914,2.0300,-1.618379,-0.009492
-4.2033,1.7800,-1.618379,0.028475
-4.2152,1.5300,-1.604117,0.038032
-4.2200,1.2800,-1.599360,-0.009512
-4.2295,1.0300,-1.608873,-0.026699
-4.2390,0.7800,1.535327,0.002955
-4.2033,1.7681,1.536719,-0.002812
-4.1676,2.8752,1.530981,-0.016118
-4.1105,4.0990,1.501032,-0.029867
-3.9914,5.3967,1.427882,-0.139846
-3.8748,5.7371,0.924980,-6.381941
-3.7438,5.7252,-0.344647,-5.244084
-3.5962,5.6371,-0.572309,-0.136197
-3.4962,5.5657,-0.303571,5.463344
-3.3986,5.5752,0.369906,2.557796
-3.2629,5.6562,0.460542,0.706329
-3.0914,5.7276,0.704494,3.056959
-3.0724,5.8181,1.784939,19.429075
-3.1175,5.8475,2.906744,23.034091
-3.1500,5.8367,-2.819842,17.962787
